Cosmetic Products Regulation, Annex III - Restricted Substances
Note: Group entries are split in different rows.
Export date: 06/05/2026 21:21:06
Header

"Substance Identifier"	""	



""	""	""	""	"Substance Identification"	"Substance Identification"	"Substance Identification"	"Restrictions"	"Restrictions"	"Restrictions"	"Restrictions"	"Restrictions"	"Restrictions"	"Restrictions"	""	""	
"Name"	"EC / List no"	"CAS no"	"Ref No."	"Name"	"CAS"	"EC Number"	"Product type, body parts"	"Function(s)"	"Maximum Threshold"	"Minimum Threshold"	"Restriction(s)"	"Qualifier(s)"	"Expressed As"	"Warning Label"	"Notes"	
"Phenol, 2-Amino-5-Ethyl-, Hydrochloride"	"480-270-8"	"149861-22-3"	"269"	"Phenol, 2-Amino-5-Ethyl-, Hydrochloride"	"149861-22-3"	""	"Hair dye substance in oxidative hair dye products"	""	"1 %"	""	"After mixing under oxidative conditions the maximum concentration applied to hair must not exceed 1.0 %"	""	""	"To be printed on the label: The mixing ratio. &#39;&#39;Hair colourants can cause severe allergic reactions. Read and follow instructions. This product is not intended for use on persons under the age of 16. Temporary &#39;&#39;black henna&#39;&#39; tattoos may increase your risk of allergy. Do not colour your hair if: you have a rash on your face or sensitive, irritated and damaged scalp, you have ever experienced any reaction after colouring your hair, you have experienced a reaction to a temporary &#39;&#39;black henna&#39;&#39; tattoo in the past.&#39;&#39;"	""	
"Phenol, 2-Chloro-6-(ethylamino)-4-nitro-"	"411-440-1"	"131657-78-8"	"201"	"Phenol, 2-Chloro-6-(ethylamino)-4-nitro-"	"131657-78-8"	"411-440-1"	"Hair dye substance in oxidative hair dye products"	""	"1.5 %"	""	"After mixing under oxidative conditions the maximum concentration applied to hair must not exceed 1.5 %Do not use with nitrosating agentsMaximum nitrosamine content: 50 μg /kgKeep in nitrite-free containers"	""	""	"To be printed on the label: The mixing ratio. &#39;&#39;Hair colourants can cause severe allergic reactions. Read and follow instructions. This product is not intended for use on persons under the age of 16. Temporary &#39;&#39;black henna&#39;&#39; tattoos may increase your risk of allergy. Do not colour your hair if: you have a rash on your face or sensitive, irritated and damaged scalp, you have ever experienced any reaction after colouring your hair, you have experienced a reaction to a temporary &#39;&#39;black henna&#39;&#39; tattoo in the past.&#39;&#39;"	""	
"Phenol, 2-Chloro-6-(ethylamino)-4-nitro-"	"411-440-1"	"131657-78-8"	"201"	"Phenol, 2-Chloro-6-(ethylamino)-4-nitro-"	"131657-78-8"	"411-440-1"	"Hair dye substance in non-oxidative hair dye products"	""	"3 %"	""	"Do not use with nitrosating agentsMaximum nitrosamine content: 50 μg /kgKeep in nitrite-free containers"	""	""	""	""	
"Phenol, 2-methoxy-4-(1-propenyl)"	"202-590-7"	"97-54-1"	"73"	"Phenol, 2-methoxy-4-(1-propenyl)"	"97-54-1"	"202-590-7"	"Oral products"	""	""	""	"The presence of the substance must be indicated in the list of ingredients referred to in Article 19(1)(g) when its concentration exceeds: 0.001% in leave-on products and 0.01 % in rinse-off products"	""	""	""	""	
"Phenol, 2-methoxy-4-(1-propenyl)"	"202-590-7"	"97-54-1"	"73"	"Phenol, 2-methoxy-4-(1-propenyl)"	"97-54-1"	"202-590-7"	"Cosmetic products other than oral products"	""	"0.02 %"	""	"The presence of the substance must be indicated in the list of ingredients referred to in Article 19(1)(g) when its concentration exceeds: 0.001% in leave-on products and 0.01 % in rinse-off products"	""	""	""	""	
"Phenol, 2-methoxy-4-(2-propenyl)"	"202-589-1"	"97-53-0"	"71"	"Phenol, 2-methoxy-4-(2-propenyl)"	"97-53-0"	"202-589-1"	"All cosmetic products"	""	""	""	"The presence of the substance must be indicated in the list of ingredients referred to in Article 19(1)(g) when its concentration exceeds: 0.001% in leave-on products and 0.01 % in rinse-off products"	""	""	""	""	
"Phenol, 2-methoxy-4-(2-propenyl)-, acetate"	"202-235-6"	"93-28-7"	"368"	"Phenol, 2-methoxy-4-(2-propenyl)-, acetate"	"93-28-7"	"202-235-6"	"All cosmetic products"	""	""	""	"The presence of the substance must be indicated in the list of ingredients referred to in Article 19(1)(g) when its concentration exceeds: 0.001% in leave-on products and 0.01 % in rinse-off products"	""	""	""	"Cosmetic products containing that substance that do not comply with the restrictions may be placed on the Union market until 31 July 2026 and made available on the Union market until 31 July 2028"	
"Phenol, 3-amino-2,6-dimethyl"	"230-268-6"	"6994-64-5"	"303"	"Phenol, 3-amino-2,6-dimethyl"	"6994-64-5"	"230-268-6"	"Hair dye substance in oxidative hair dye products"	""	"2 %"	""	"After mixing under oxidative conditions the maximum concentration applied to hair must not exceed 2.0 %"	""	""	"As from 3 March 2018: &#39;&#39;Hair colourants can cause severe allergic reactions. Read and follow instructions. This product is not intended for use on persons under the age of 16. Temporary &#39;&#39;black henna&#39;&#39; tattoos may increase your risk of allergy. Do not colour your hair if: you have a rash on your face or sensitive, irritated and damaged scalp, you have ever experienced any reaction after colouring your hair, you have experienced a reaction to a temporary &#39;&#39;black henna&#39;&#39; tattoo in the past.&#39;&#39;"	""	
"Phenol, 4,4'-(4,5,6,7-tetrabromo-1,1-dioxido-3H-2,1-benzoxathiol-3-ylidene)bis[2,6-dibromo-"	"224-622-9"	"4430-25-5"	"319"	"Phenol, 4,4&#39;-(4,5,6,7-tetrabromo-1,1-dioxido-3H-2,1-benzoxathiol-3-ylidene)bis[2,6-dibromo-"	"4430-25-5"	"224-622-9"	"Hair dye substance in oxidative hair dye products"	""	"0.2 %"	""	"As from 3 June 2021, after mixing under oxidative conditions the maximum concentration applied to hair must not exceed 0.2% (calculated as free base)"	""	"As free base"	"As from 3 December 2021, to be printed on the label: The mixing ratio. &#39;&#39;Hair colourants can cause severe allergic reactions. Read and follow instructions. This product is not intended for use on persons under the age of 16. Temporary &#39;&#39;black henna&#39;&#39; tattoos may increase your risk of allergy. Do not colour your hair if: you have a rash on your face or sensitive, irritated and damaged scalp, you have ever experienced any reaction after colouring your hair, you have experienced a reaction to a temporary &#39;&#39;black henna&#39;&#39; tattoo in the past.&#39;&#39;"	""	
"Phenol, 4,4'-(4,5,6,7-tetrabromo-1,1-dioxido-3H-2,1-benzoxathiol-3-ylidene)bis[2,6-dibromo-"	"224-622-9"	"4430-25-5"	"319"	"Phenol, 4,4&#39;-(4,5,6,7-tetrabromo-1,1-dioxido-3H-2,1-benzoxathiol-3-ylidene)bis[2,6-dibromo-"	"4430-25-5"	"224-622-9"	"Hair dye substance in non-oxidative hair dye products"	""	"0.2 %"	""	"As from 3 June 2021: 0.2 % (maximum concentration in ready use preparation)"	""	""	""	""	
"Phosphoric acid compound with 4-[(2,6-dichlorophenyl) (4-imino-3,5-dimethyl-2,5-cyclohexadien-1-ylidene) methyl]-2,6-dimethylaniline (1:1)"	"277-929-5"	"74578-10-2"	"289"	"Phosphoric acid compound with 4-[(2,6-dichlorophenyl) (4-imino-3,5-dimethyl-2,5-cyclohexadien-1-ylidene) methyl]-2,6-dimethylaniline (1:1)"	"74578-10-2"	"277-929-5"	"Hair dye substance in oxidative hair dye products"	""	"0.2 %"	""	"After mixing under oxidative conditions the maximum concentration applied to hair must not exceed 0.2 %"	""	""	"To be printed on the label: The mixing ratio. &#39;&#39;Hair colourants can cause severe allergic reactions. Read and follow instructions. This product is not intended for use on persons under the age of 16. Temporary &#39;&#39;black henna&#39;&#39; tattoos may increase your risk of allergy. Do not colour your hair if: you have a rash on your face or sensitive, irritated and damaged scalp, you have ever experienced any reaction after colouring your hair, you have experienced a reaction to a temporary &#39;&#39;black henna&#39;&#39; tattoo in the past.&#39;&#39;"	""	
"Phosphoric acid compound with 4-[(2,6-dichlorophenyl) (4-imino-3,5-dimethyl-2,5-cyclohexadien-1-ylidene) methyl]-2,6-dimethylaniline (1:1)"	"277-929-5"	"74578-10-2"	"289"	"Phosphoric acid compound with 4-[(2,6-dichlorophenyl) (4-imino-3,5-dimethyl-2,5-cyclohexadien-1-ylidene) methyl]-2,6-dimethylaniline (1:1)"	"74578-10-2"	"277-929-5"	"Hair dye substance in non-oxidative hair dye products"	""	"0.2 %"	""	""	""	""	""	""	
"Picea mariana oil and extract"	"294-420-3"	"91722-19-9"	"118"	"Picea mariana oil and extract"	"91722-19-9"	"294-420-3"	"All cosmetic products"	""	""	""	"Peroxide value less than 10 mmoles/L"	""	""	""	"This limit applies to the substance and not to the finished cosmetic product"	
"Pinus cembra extract acetylated"	"305-102-1"	"94334-26-6"	"117"	"Pinus cembra extract acetylated"	"94334-26-6"	"305-102-1"	"All cosmetic products"	""	""	""	"Peroxide value less than 10 mmoles/L"	""	""	""	"This limit applies to the substance and not to the finished cosmetic product"	
"Pinus cembra oil and extract"	"296-036-1"	"92202-04-5"	"116"	"Pinus cembra oil and extract"	"92202-04-5"	"296-036-1"	"All cosmetic products"	""	""	""	"Peroxide value less than 10 mmoles/L"	""	""	""	"This limit applies to the substance and not to the finished cosmetic product"	
"Pinus mugo leaf and twig oil and extract"	"290-163-6"	"90082-72-7"	"109"	"Pinus mugo leaf and twig oil and extract"	"90082-72-7"	"290-163-6"	"All cosmetic products"	""	""	""	"The presence of the substance or substances shall be indicated as &#39;Pinus Mugo&#39; in the list of ingredients referred to in Article 19(1)(g) when the concentration exceeds: 0.001% in leave-on products and 0.01 % in rinse-off productsPeroxide value less than 10 mmoles/L"	""	""	""	"This limit applies to the substance and not to the finished cosmetic productCosmetic products containing that substance that do not comply with the restrictions may, provided that they comply with the restrictions applicable on 15 August 2023, be placed on the Union market until 31 July 2026 and made available on the Union market until 31 July 2028"	
"Pinus mugo pumilio oil and extract"	"290-164-1"	"90082-73-8"	"108"	"Pinus mugo pumilio oil and extract"	"90082-73-8"	"290-164-1"	"All cosmetic products"	""	""	""	"Peroxide value less than 10 mmoles/L"	""	""	""	"This limit applies to the substance and not to the finished cosmetic product"	
"Pinus nigra oil and extract"	"290-165-7"	"90082-74-9"	"111"	"Pinus nigra oil and extract"	"90082-74-9"	"290-165-7"	"All cosmetic products"	""	""	""	"Peroxide value less than 10 mmoles/L"	""	""	""	"This limit applies to the substance and not to the finished cosmetic product"	
"Pinus palustris extract"	"306-895-7"	"97435-14-8"	"112"	"Pinus palustris extract"	"97435-14-8"	"306-895-7"	"All cosmetic products"	""	""	""	"Peroxide value less than 10 mmoles/L"	""	""	""	"This limit applies to the substance and not to the finished cosmetic product"	
"Pinus palustris oil"	"616-792-1"	"8002-09-3"	"112"	"Pinus palustris oil"	"8002-09-3"	""	"All cosmetic products"	""	""	""	"Peroxide value less than 10 mmoles/L"	""	""	""	"This limit applies to the substance and not to the finished cosmetic product"	
"Pinus pinaster oil and extract"	"290-166-2"	"90082-75-0"	"113"	"Pinus pinaster oil and extract"	"90082-75-0"	"290-166-2"	"All cosmetic products"	""	""	""	"Peroxide value less than 10 mmoles/L"	""	""	""	"This limit applies to the substance and not to the finished cosmetic product"	
"Pinus pumila leaf and twig oil and extract"	"307-681-6"	"97676-05-6"	"114"	"Pinus pumila leaf and twig oil and extract"	"97676-05-6"	"307-681-6"	"All cosmetic products"	""	""	""	"The presence of the substance or substances shall be indicated as &#39;Pinus Pumila&#39; in the list of ingredients referred to in Article 19(1)(g) when the concentration exceeds: 0.001% in leave-on products and 0.01 % in rinse-off productsPeroxide value less than 10 mmoles/L"	""	""	""	"This limit applies to the substance and not to the finished cosmetic productCosmetic products containing that substance that do not comply with the restrictions may, provided that they comply with the restrictions applicable on 15 August 2023, be placed on the Union market until 31 July 2026 and made available on the Union market until 31 July 2028"	
"Pinus species oil and extract"	"304-455-9"	"94266-48-5"	"115"	"Pinus species oil and extract"	"94266-48-5"	"304-455-9"	"All cosmetic products"	""	""	""	"Peroxide value less than 10 mmoles/L"	""	""	""	"This limit applies to the substance and not to the finished cosmetic product"	
"Pinus sylvestris oil and extract"	"281-679-2"	"84012-35-1"	"110"	"Pinus sylvestris oil and extract"	"84012-35-1"	"281-679-2"	"All cosmetic products"	""	""	""	"Peroxide value less than 10 mmoles/L"	""	""	""	"This limit applies to the substance and not to the finished cosmetic product"	
"Pogostemon cablin extract"	"616-944-7"	"8014-09-3"	"365"	"Pogostemon cablin extract"	"8014-09-3"	""	"All cosmetic products"	""	""	""	"The presence of the substance must be indicated in the list of ingredients referred to in Article 19(1)(g) when its concentration exceeds: 0.001% in leave-on products and 0.01 % in rinse-off products"	""	""	""	"Cosmetic products containing that substance that do not comply with the restrictions may be placed on the Union market until 31 July 2026 and made available on the Union market until 31 July 2028"	
